rank,cupituber,subscribers,video_views,video_count,category,started,country,monetization_type,description
415,Guava Jui=ce,16900000,8614218175,1754,Gaming,2006-05-03,Germany,Crowdfunding,LiVe sTREams aBout gAming!
416,Doggy Doggy Cartoons,16800000,6459285262,4723,Entertainment,2012-08-05,Thailand,Sponsorship,Top 10 MoVie rEviews!
417,'IGN,16800000,14633922961,149770,Gaming,2006-02-05,South Korea,Membership,tHe bEst MUSIC chAnNeL EVER!
418,:Jason Derulo,16800000,8808599101,451,Music,2008-11-16,UK,Merchandising,hILaRiOuS comEdy skEtches!
419,Maya and Mary,16800000,6304251610,539,Entertainment,2013-09-19,Thailand,Super Chat,ThE InflUENcE oF tHE NBA iN PoP culTURE!
420,DUDU e <CAROL,16700000,6530946230,2874,Autos & Vehicles,2013-08-28,Canada,Crowdfunding,This is a space where a handicapped tests and reviews adaptive vehicles.
421,Anit~ta,16700000,6610175435,99,Music,2011-01-20,Saudi Arabia,Merchandising,sciENCe and TecH foR everyoNe!
422,Werever2morro,16700000,2714071108,972,Entertainment,2007-11-14,Saudi Arabia,Merchandising,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
423,Triggered Insaan,16700000,2657491028,265,Comedy,2014-06-19,Australia,Super Chat,hILaRiOuS comEdy skEtches!
424,7clouds,16600000,11637964945,1940,Music,2013-03-08,Australia,AdSense,hOrrOR stories thAt will sCARE you!
425,Tu COSMOPOL[IS,16600000,4875900353,6796,People & Blogs,2014-11-19,Sweden,Merchandising,uNderground Hip-Hop and Music trends!
426,DeToxoMoroxo,16600000,2212149791,488,Entertainment,2012-07-25,Argentina,Super Chat,LeaRn tO cOOk dELicious Meals!
427,Sourav Joshi Vlogs,16500000,5970849535,1039,People & Blogs,2019-03-19,South Africa,AdSense,Top 10 MoVie rEviews!
428,TheBrianMaps,16500000,4090289417,476,Comedy,2012-05-14,India,Merchandising,eXpLoRINg the WonDERs of AI AnD NASA!
429,.Manual do Mundo,16500000,3367572384,2117,Howto & Style,2006-02-19,Turkey,Membership,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
430,SonyM+usicSouthVEVO,16400000,15090557603,4304,Music,2014-01-05,Mexico,Super Chat,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
431,zbing z.,16400000,8307904773,2763,Gaming,2014-02-05,Italy,Sponsorship,TeCH REVIEWS and more!
432,Dhar Mann(,16400000,8642459264,649,People & Blogs,2018-03-13,Australia,Merchandising,tHe bEst MUSIC chAnNeL EVER!
433,IDEAS EN 5 MINUTOS,16400000,3509049258,4658,Howto & Style,2017-12-11,Russia,Sponsorship,ThE InflUENcE oF tHE NBA iN PoP culTURE!
434,W2S,16300000,4739609055,653,Gaming,2012-02-18,Argentina,AdSense,fOLLow for daiLY VLOGS!
435,Shemaroo ~Comedy,16300000,4923411314,3467,Entertainment,2007-07-02,Germany,Super Chat,InSIDeR lOOk at a VIP YouTube CreatOR!
436,ExtraPolinesios,16300000,4696367446,480,People & Blogs,2012-08-20,Netherlands,AdSense,This channel documents the travels of a blind-person and how different places provide accessibility.
437,Goldmines Grea{t Indian Comedy,16300000,4238595667,2008,Film & Animation,2016-12-28,UAE,Crowdfunding,NexT-GEn AI breAkThroughS ShaPINg oUr World!
438,Prajapati News,16300000,907965523,1081,Comedy,2013-10-22,Indonesia,Super Chat,aMAZING trAvel vlogs wOrldWide!
439,SOMOY TV,16200000,9476895180,124072,News & Politics,2015-06-15,Japan,Merchandising,ALL about SPOrts and fitness!
440,Sony AATH,16200000,10718891416,14759,Shows,2013-12-26,Canada,Membership,fOLLow for daiLY VLOGS!
441,Miley Cyrus,16200000,6235405830,124,Entertainment,2009-10-11,South Africa,Sponsorship,Top 10 MoVie rEviews!
442,Sandra Cires Art,16200000,3702173328,953,Howto & Style,2011-03-09,Brazil,Super Chat,cREAtive Art and DIY Projects!
443,ta+nboy kun,16200000,3020272233,582,People & Blogs,2016-08-26,India,Merchandising,yOU woN'T beLieve tHEse prankS!
444,Sidhu; Moose Wala,16200000,4078330367,111,Music,2017-12-21,Sweden,Super Chat,cREAtive Art and DIY Projects!
445,Blippi - Educati?onal Videos for Kids,16100000,12991967769,453,Education,2014-06-25,Argentina,Merchandising,LeaRn tO cOOk dELicious Meals!
446,Queen Official,16100000,9723539941,908,Music,2008-03-25,France,Super Chat,aMAZING trAvel vlogs wOrldWide!
447,Travis Scott,16100000,7187033169,13,Music,2013-12-26,Australia,Membership,aMAZING trAvel vlogs wOrldWide!
448,Les' Copaque Pro?duction,16100000,7954662776,1427,Film & Animation,2009-02-04,Canada,Sponsorship,LiVe sTREams aBout gAming!
449,Zuni and Famil(y,16100000,5830669187,176,People & Blogs,2017-11-20,Germany,Sponsorship,LeaRn tO cOOk dELicious Meals!
450,Sidemen,16100000,4196033350,264,Entertainment,2015-06-05,China,Sponsorship,MaSTERing HTML and CSS foR YoUR WebSiTE!
451,The Game Theorists,16100000,3546490692,659,Gaming,2009-10-12,Canada,Sponsorship,uNderground Hip-Hop and Music trends!
452,An=trax,16100000,2949891202,654,Gaming,2015-08-12,Saudi Arabia,Membership,ALL about SPOrts and fitness!
453,Canal IN,16100000,2573050059,723,People & Blogs,2017-12-13,South Africa,AdSense,MaSTERing HTML and CSS foR YoUR WebSiTE!
454,Dushyant!kukreja,16000000,11095340736,571,Entertainment,2015-04-24,India,Membership,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
455,TRANS TV Offic|ial,16000000,8780937851,123467,Entertainment,2014-05-07,Argentina,Merchandising,fOLLow for daiLY VLOGS!
456,_Little Mix,16000000,7047968268,278,Music,2011-07-03,Russia,Sponsorship,A gREAT pLACE To wAtCh FIlmS.
457,RKD Studi_os,16000000,4133234619,622,Entertainment,2014-09-12,UK,AdSense,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
458,FailAr+my,16000000,2041620563,337,Comedy,2011-09-11,France,Sponsorship,LeaRn tO cOOk dELicious Meals!
459,El Reino a @Jugar,15900000,10175537321,872,Education,2015-11-09,Saudi Arabia,Crowdfunding,ALL about SPOrts and fitness!
460,DopeLyrics,15900000,9803533121,1937,Music,2016-09-20,UK,AdSense,LeaRn tO cOOk dELicious Meals!
461,Boyce A[venue,15900000,6230190520,438,Music,2007-01-16,Netherlands,Sponsorship,No devil lived on
462,Camila Ca bello,15900000,6086165889,61,Music,2015-07-03,Indonesia,AdSense,VIP aCCeSS To ThE LatESt NBA HighLighTS!
463,VIC_E,15900000,4174962442,3694,Entertainment,2005-08-10,Turkey,AdSense,GaMiNG Content fOr everyOne!
464,Kaykai Salaider,15900000,4248704474,399,Comedy,2011-05-15,Sweden,Crowdfunding,fOLLow for daiLY VLOGS!
465,Fede Vi]gevani,15900000,4745414554,865,Howto & Style,2009-05-03,Germany,Super Chat,TeCH REVIEWS and more!
466,)Marques Brownlee,15900000,3082486680,1454,Science & Technology,2008-02-01,USA,Sponsorship,TeCH REVIEWS and more!
467,jeffree]star,15900000,2575183135,428,Howto & Style,2006-07-14,France,Merchandising,aMAZING trAvel vlogs wOrldWide!
468,]Apple,15900000,808136104,205,Science & Technology,2005-07-05,USA,Membership,VIP aCCeSS To ThE LatESt NBA HighLighTS!
469,Kids Play@,15800000,7713981883,545,Entertainment,2018-08-02,Sweden,Crowdfunding,hILaRiOuS comEdy skEtches!
470,Aayu and Pihu Show,15800000,7837311552,352,Comedy,2017-01-02,Argentina,Merchandising,bEST UnBOxInG ViDEos!
471,JJ Olatunji,15800000,3631494389,1183,Gaming,2011-09-15,Canada,Merchandising,LiVe sTREams aBout gAming!
472,Katie Ang:el,15800000,3007947714,732,People & Blogs,2015-02-05,Canada,Membership,NexT-GEn AI breAkThroughS ShaPINg oUr World!
473,MissaSinfon/ia,15800000,1918777559,232,Comedy,2011-01-22,Sweden,Crowdfunding,MaSTERing HTML and CSS foR YoUR WebSiTE!
474,AMA}RINTV : อมรินทร์ทีวี,15700000,11194074075,97231,Entertainment,2014-01-08,UK,Membership,aMAZING trAvel vlogs wOrldWide!
475,Rotten Tomatoes Trailers,15700000,12811981848,9582,Film & Animation,2011-10-03,Thailand,Super Chat,uNderground Hip-Hop and Music trends!
476,Pi<tbull,15700000,11458130113,302,Music,2006-01-24,Thailand,Merchandising,ThE InflUENcE oF tHE NBA iN PoP culTURE!
477,Enes Batur,15700000,9410061135,1979,Gaming,2012-05-18,India,Membership,hILaRiOuS comEdy skEtches!
478,Jennifer Lopez,15700000,9512025119,224,Music,2005-02-23,France,Merchandising,uNderground Hip-Hop and Music trends!
479,Jason Vlogs,15700000,7137778517,666,Education,2015-12-20,Italy,Sponsorship,yOU woN'T beLieve tHEse prankS!
480,Alejo Igoa,15700000,5276127016,699,Comedy,2014-11-05,Australia,Sponsorship,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
481,Matt Stonie$,15700000,3249162653,401,Entertainment,2012-08-17,Netherlands,Merchandising,fUNnY Memes and REactions!
482,Caeli YT,15700000,1509244860,545,Entertainment,2010-06-05,Russia,Membership,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
483,Pop Chartbusters,15600000,7817983360,2154,Music,2011-07-15,India,AdSense,hILaRiOuS comEdy skEtches!
484,Ti;lak,15600000,6132515137,3614,Film & Animation,2020-01-16,South Korea,Super Chat,tHe bEst MUSIC chAnNeL EVER!
485,AdMe,15600000,4012749893,5356,Entertainment,2015-02-04,Germany,Merchandising,LeaRn tO cOOk dELicious Meals!
486,FunFun Toy D~oll TV,15500000,6948469648,706,Entertainment,2016-08-03,Netherlands,Super Chat,BESt TUTORials foR BEGINNERS.
487,News24,15500000,5982443648,157377,News & Politics,2014-11-17,South Korea,Crowdfunding,LiVe sTREams aBout gAming!
488,Roman Atwood Vlogs,15500000,5442036950,1726,People & Blogs,2013-08-17,UK,Sponsorship,wEird fActs aND ExPERiments!
489,D/yland PROS,15500000,1294519810,1803,Entertainment,2015-11-01,Canada,Sponsorship,BESt TUTORials foR BEGINNERS.
490,Gato Galactico | GALÁXI:A,15400000,5602802498,2085,Film & Animation,2013-09-13,Indonesia,Sponsorship,fUNnY Memes and REactions!
491,FitDanc%e,15400000,6541827030,3537,Music,2013-12-22,Japan,Sponsorship,fUNnY Memes and REactions!
492,wifistu(dy,15400000,2805232542,46290,Education,2014-01-16,Netherlands,AdSense,illegal-voter explains how election systems work and why certain individuals cannot vote.
493,RCTI - LAYAR DRAMA INDONESIA,15300000,12818689835,58886,Entertainment,2015-09-24,France,AdSense,cREAtive Art and DIY Projects!
494,SriBalajiMovies,15200000,8199671601,16953,Entertainment,2011-04-05,Germany,Membership,ALL about SPOrts and fitness!
495,Oyuncak Avı,15200000,8085387780,544,Entertainment,2014-04-12,Sweden,Crowdfunding,LiVe sTREams aBout gAming!
496,AdeleVEVO,15200000,11470355227,51,Music,2009-10-21,Argentina,Super Chat,wEird fActs aND ExPERiments!
497,Cami~lo,15200000,6003697328,80,Music,2010-12-20,Poland,Sponsorship,LeaRn tO cOOk dELicious Meals!
498,Kerajinan 5-M:enit,15200000,4465727515,3392,People & Blogs,2018-06-24,Saudi Arabia,Super Chat,A gREAT pLACE To wAtCh FIlmS.
499,Bizarrap,15200000,4683488651,78,Comedy,2017-05-17,Australia,Crowdfunding,MaSTERing HTML and CSS foR YoUR WebSiTE!
500,T3ddy,15200000,2528566554,1700,Comedy,2012-02-18,Netherlands,Sponsorship,NASA AND AI: ThE FuTURE of spACe exploratION!
501,Musas,15200000,2359375167,611,Howto & Style,2012-10-10,Saudi Arabia,Merchandising,yOU woN'T beLieve tHEse prankS!
502,Dan Rhodes,15100000,10715145365,1315,Entertainment,2015-10-23,Saudi Arabia,Crowdfunding,MaSTERing HTML and CSS foR YoUR WebSiTE!
503,With Kids[위드키즈],15100000,7990515155,863,Entertainment,2012-02-01,UK,Super Chat,ThE InflUENcE oF tHE NBA iN PoP culTURE!
504,And TV,15100000,11583824903,26477,Entertainment,2015-08-02,USA,Sponsorship,NASA AND AI: ThE FuTURE of spACe exploratION!
505,TheR$ichest,15100000,2919203136,2206,Education,2014-06-17,Sweden,Super Chat,bEST UnBOxInG ViDEos!
506,LOKESH GAMER,15100000,1535589708,1186,Gaming,2017-06-21,Russia,Sponsorship,LiVe sTREams aBout gAming!
507,Technoblade,15100000,1488692745,988,Gaming,2013-12-02,USA,Super Chat,LiVe sTREams aBout gAming!
508,Ch7HD,15000000,11688798550,49889,Entertainment,2010-08-28,China,AdSense,InSIDeR lOOk at a VIP YouTube CreatOR!
509,POPS Kids,15000000,8678492072,4478,Music,2014-02-12,Brazil,AdSense,wEird fActs aND ExPERiments!
510,SAM SMITH,15000000,8769075543,67,Music,2012-02-02,UK,Crowdfunding,TeCH REVIEWS and more!
511,Like} Nastya IDN,15000000,6483845834,430,Entertainment,2019-07-23,UK,Super Chat,hOrrOR stories thAt will sCARE you!
512,Like Nastya VNM,15000000,8132415475,456,Entertainment,2019-05-13,Turkey,Super Chat,NexT-GEn AI breAkThroughS ShaPINg oUr World!
513,5-Minute Craf#ts FAMILY,15000000,5438131771,3440,People & Blogs,2018-11-04,Mexico,AdSense,tHe bEst MUSIC chAnNeL EVER!
514,zayn,15000000,4559692349,14,Music,2016-02-02,Japan,Membership,LiVe sTREams aBout gAming!
515,Makiman131+,15000000,4484263923,3102,Gaming,2013-08-24,Germany,Super Chat,fOLLow for daiLY VLOGS!
516,حِرف إبداعية في 5 دقائق,15000000,4160511912,4404,Howto & Style,2017-02-04,Italy,AdSense,tHe bEst MUSIC chAnNeL EVER!
517,Stok)es Twins,15000000,2774875062,216,People & Blogs,2008-02-27,Japan,Sponsorship,sciENCe and TecH foR everyoNe!
518,Ranz Kyle,15000000,1678559984,479,People & Blogs,2008-09-11,South Africa,Merchandising,LeaRn tO cOOk dELicious Meals!
519,НТВ,14900000,439098,1,People & Blogs,2008-03-28,South Korea,AdSense,eXpLoRINg the WonDERs of AI AnD NASA!
520,Henrique e *Juliano,14900000,12484253152,285,Music,2009-02-12,Australia,Super Chat,aMAZING trAvel vlogs wOrldWide!
521,LEGO|,14900000,18840617532,28683,Entertainment,2005-02-26,UK,AdSense,uNderground Hip-Hop and Music trends!
522,Volga Video,14900000,9171517368,18735,Film & Animation,2012-08-09,Canada,Merchandising,wEird fActs aND ExPERiments!
523,Lahari Music | T-Series,14900000,10469251425,8169,Music,2011-07-03,China,Super Chat,hILaRiOuS comEdy skEtches!
524,Kwebbelkop,14900000,6655475239,4951,Gaming,2008-06-14,USA,Super Chat,disabled-person plays and reviews video games from the perspective of accessibility and inclusion.
525,Talking Tom & Fri:ends,14900000,6178735188,392,Entertainment,2010-07-23,China,Crowdfunding,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
526,Mariale,14900000,2568493946,1918,Howto & Style,2010-06-09,Russia,Crowdfunding,deaf-person demonstrates beauty and fashion tips with a focus on accessibility.
527,Harsh Beni{wal,14900000,1630452954,158,Comedy,2015-07-17,Australia,Super Chat,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
528,GMMT!V OFFICIAL​​,14800000,10387146066,19368,Entertainment,2010-12-15,Indonesia,Membership,ThE InflUENcE oF tHE NBA iN PoP culTURE!
529,BIGBANG,14800000,7353265213,776,Music,2005-08-22,Mexico,AdSense,tHe bEst MUSIC chAnNeL EVER!
530,La Rosa de Guadalupe,14800000,8349695433,5225,Entertainment,2015-06-04,Netherlands,AdSense,A gREAT pLACE To wAtCh FIlmS.
531,Dave and Ava - Nursery Rhymes @and Baby Songs,14800000,9864262216,732,Education,2014-02-03,USA,Sponsorship,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
532,Le(ague of Legends,14800000,6604382784,1340,Gaming,2009-11-12,South Korea,Membership,eXpLoRINg the WonDERs of AI AnD NASA!
533,Super Senya,14800000,4790199895,525,Entertainment,2016-10-05,Indonesia,AdSense,aMAZING trAvel vlogs wOrldWide!
534,Lachlan,14800000,5013387703,3646,Gaming,2013-08-22,Spain,Merchandising,fUNnY Memes and REactions!
535,React&ion Time,14800000,4255591418,1684,Entertainment,2015-03-23,France,Sponsorship,NexT-GEn AI breAkThroughS ShaPINg oUr World!
536,ERB,14800000,3905723697,85,Entertainment,2006-03-15,Brazil,Membership,cREAtive Art and DIY Projects!
537,YOLO AVENTURAS,14800000,3689834035,976,People & Blogs,2018-12-24,Germany,Membership,NexT-GEn AI breAkThroughS ShaPINg oUr World!
538,MrBeast Shorts,14800000,1938796955,87,People & Blogs,2020-05-05,Thailand,AdSense,Blind-person shares experiences and tools that help him navigate the world without sight.
539,Niana G#uerrero,14800000,1359023136,391,Entertainment,2013-08-19,UK,Super Chat,aMAZING trAvel vlogs wOrldWide!
540,Zé Neto e Cristiano,14700000,10398104437,212,Music,2012-05-23,China,AdSense,LiVe sTREams aBout gAming!
541,Dangal /TV Channel,14700000,8282592676,8625,Entertainment,2017-01-08,Japan,Sponsorship,LeaRn tO cOOk dELicious Meals!
542,MK MUSIC,14700000,7773089325,4624,Music,2010-08-12,UK,Merchandising,tHe bEst MUSIC chAnNeL EVER!
543,NDTV India>,14700000,5647481648,65241,News & Politics,2008-11-28,USA,Sponsorship,ALL about SPOrts and fitness!
544,les boys tv2,14700000,4518966874,381,Entertainment,2017-04-07,Germany,Merchandising,VIP aCCeSS To ThE LatESt NBA HighLighTS!
545,iTownGamePlay *Terror&Div!ersión*,14700000,4784433628,7674,Entertainment,2012-03-22,UK,Super Chat,hOrrOR stories thAt will sCARE you!
546,Planeta das Gêmeas,14700000,4468774867,899,People & Blogs,2015-12-04,Sweden,Super Chat,NASA AND AI: ThE FuTURE of spACe exploratION!
547,IDEIAS INCRÍVEIS,14700000,3498040367,4643,Howto & Style,2017-12-14,Thailand,Sponsorship,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
548,Lin>us Tech Tips,14700000,6062569897,5864,Science & Technology,2008-05-05,France,Crowdfunding,bEST UnBOxInG ViDEos!
549,Maroon5VEVO,14600000,18917303323,143,Music,2009-10-13,Turkey,Super Chat,A gREAT pLACE To wAtCh FIlmS.
550,Major Lazer Offi cial,14600000,8886913617,407,Music,2009-05-24,India,Merchandising,MaSTERing HTML and CSS foR YoUR WebSiTE!
551,Jo;rge & Mateus Oficial,14600000,7981563626,294,Music,2008-10-23,China,Membership,tHe bEst MUSIC chAnNeL EVER!
552,NMF News,14600000,6090840731,95987,News & Politics,2013-07-28,South Africa,Crowdfunding,aMAZING trAvel vlogs wOrldWide!
553,]BBC News Hindi,14600000,5544547819,16437,News & Politics,2009-01-16,Canada,Crowdfunding,LeaRn tO cOOk dELicious Meals!
554,Lilly |Singh,14600000,3480250258,858,Comedy,2010-09-17,Australia,Sponsorship,uNderground Hip-Hop and Music trends!
555,MattyBRaps,14600000,3226020734,175,Music,2010-07-23,Mexico,Super Chat,InSIDeR lOOk at a VIP YouTube CreatOR!
556,Daftar Populer,14600000,1859586741,2898,Education,2017-02-27,UK,Sponsorship,VIP aCCeSS To ThE LatESt NBA HighLighTS!
557,LEGENDA' FUNK,14600000,1310544121,2250,Music,2013-02-20,Saudi Arabia,AdSense,wEird fActs aND ExPERiments!
558,SelenaGomezVEVO,14500000,10323589482,183,Music,2009-11-22,Indonesia,Crowdfunding,MaSTERing HTML and CSS foR YoUR WebSiTE!
559,El Payaso Plim Plim,14500000,12573029533,992,Film & Animation,2013-08-13,UK,Super Chat,NASA AND AI: ThE FuTURE of spACe exploratION!
560,Fueled By Ramen,14500000,12629200270,1190,Music,2006-03-23,South Korea,AdSense,LeaRn tO cOOk dELicious Meals!
561,Thairath Onli&ne,14500000,11995915981,209097,News & Politics,2010-05-07,Thailand,Super Chat,GaMiNG Content fOr everyOne!
562,Co?llegeHumor,14500000,7331868655,3307,Comedy,2006-08-05,Saudi Arabia,Sponsorship,cREAtive Art and DIY Projects!
563,Bollywood Classics,14500000,6036342725,1147,Entertainment,2011-12-05,Indonesia,Sponsorship,Top 10 MoVie rEviews!
564,Zhong,14500000,9685321623,1081,Entertainment,2015-07-18,USA,Super Chat,wEird fActs aND ExPERiments!
565,Wow Kidz Action,14500000,6378481319,1445,Film & Animation,2017-08-14,Indonesia,AdSense,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
566,News18 Ind=ia,14500000,5069817134,120858,News & Politics,2007-09-27,Netherlands,Crowdfunding,fUNnY Memes and REactions!
567,XpressTV,14500000,3644137000,630,Entertainment,2014-10-03,Turkey,Sponsorship,LiVe sTREams aBout gAming!
568,Ma.ha Fun Tv,14500000,2385190008,51,Entertainment,2017-03-25,Italy,Sponsorship,Top 10 MoVie rEviews!
569,Mobile Legends: Bang Bang Official,14500000,2655046551,2410,Gaming,2016-02-24,India,AdSense,ThE InflUENcE oF tHE NBA iN PoP culTURE!
570,ح.قائق وأسرار,14500000,2175911149,1312,Entertainment,2016-11-17,India,Super Chat,VIP aCCeSS To ThE LatESt NBA HighLighTS!
571,Draw|blogs,14500000,1694934569,362,Entertainment,2014-11-18,Canada,AdSense,MaSTERing HTML and CSS foR YoUR WebSiTE!
572,Canal Nostalgia,14500000,1416689094,370,Entertainment,2008-08-12,Australia,Sponsorship,hOrrOR stories thAt will sCARE you!
573,Fift|h Harmony,14400000,7526971366,67,Music,2013-07-25,Sweden,Crowdfunding,ALL about SPOrts and fitness!
574,Team Films Bhojpuri,14400000,6164527861,20085,Music,2014-03-24,Brazil,AdSense,cREAtive Art and DIY Projects!
575,Chad Wild Clay,14400000,6161605244,630,Comedy,2006-01-15,Russia,Merchandising,BESt TUTORials foR BEGINNERS.
576,Boram Tube ToysReview [보람튜브 토이리뷰],14400000,4914128767,568,People & Blogs,2016-05-13,Sweden,Merchandising,cREAtive Art and DIY Projects!
577,Martin Garrix,14400000,5558117744,305,Music,2011-11-16,Japan,Membership,fUNnY Memes and REactions!
578,LIV Cri^me,14400000,7061275751,4281,People & Blogs,2020-05-26,Italy,Merchandising,hILaRiOuS comEdy skEtches!
579,Super Polina|,14400000,4812187551,539,People & Blogs,2014-09-20,Spain,Super Chat,cREAtive Art and DIY Projects!
580,Rclbeauty101,14400000,3919524704,478,Comedy,2010-12-24,Australia,Super Chat,uNderground Hip-Hop and Music trends!
581,TWICE,14400000,3733683543,852,Music,2016-04-17,Turkey,Membership,sciENCe and TecH foR everyoNe!
582,Arif muhammad,14400000,3400090845,428,People & Blogs,2017-08-04,Germany,Sponsorship,A gREAT pLACE To wAtCh FIlmS.
583,Cyprien,14400000,3005899595,205,Comedy,2007-04-12,Germany,AdSense,Top 10 MoVie rEviews!
584,The Slow Mo Guys%,14400000,2346592288,297,Entertainment,2010-04-06,Argentina,Membership,hOrrOR stories thAt will sCARE you!
585,Дима Маслен~ников,14400000,2013234398,401,Entertainment,2014-09-28,Russia,Sponsorship,MaSTERing HTML and CSS foR YoUR WebSiTE!
586,Genierock,14300000,13310308313,1540,Music,2008-04-14,Indonesia,Merchandising,hILaRiOuS comEdy skEtches!
587,mujjuu___14},14300000,9548597909,556,People & Blogs,2020-09-11,Saudi Arabia,Crowdfunding,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
588,PlayStation%,14300000,4230572281,17878,Gaming,2005-05-10,Italy,Super Chat,sciENCe and TecH foR everyoNe!
589,Gyan Gamin.gㅤ,14300000,2081351545,2514,Gaming,2017-06-08,Japan,Sponsorship,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
590,Zach King,14300000,2014152450,398,Entertainment,2013-07-10,Indonesia,Super Chat,BESt TUTORials foR BEGINNERS.
591,It's Mamix,14300000,1547521967,200,People & Blogs,2017-12-28,Sweden,Merchandising,cREAtive Art and DIY Projects!
592,Hear This Music,14200000,8511385256,38,Music,2016-10-08,UK,AdSense,ALL about SPOrts and fitness!
593,Unspeakable,14200000,7365642885,668,Gaming,2016-08-08,Brazil,Crowdfunding,BESt TUTORials foR BEGINNERS.
594,SIS vs BRO,14200000,6767838159,357,Entertainment,2016-01-10,USA,Sponsorship,yOU woN'T beLieve tHEse prankS!
595,Mohamed Ramadan I محمد رمضان,14200000,4812994887,599,People & Blogs,2014-10-01,Indonesia,Membership,NASA AND AI: ThE FuTURE of spACe exploratION!
596,Trap City,14200000,4885163357,2554,Music,2012-08-21,Russia,AdSense,VIP aCCeSS To ThE LatESt NBA HighLighTS!
597,Totoy k[ids - Español,14200000,4533034236,167,Film & Animation,2017-01-02,South Africa,Membership,NexT-GEn AI breAkThroughS ShaPINg oUr World!
598,Camila Loures,14200000,4189052804,3429,Music,2014-03-25,Poland,AdSense,hILaRiOuS comEdy skEtches!
599,Zach +Choi ASMR,14200000,2512937687,638,People & Blogs,2014-08-12,Argentina,Merchandising,TeCH REVIEWS and more!
600,MalumaVEVO,14100000,17905081262,168,Music,2011-08-05,Argentina,Merchandising,ThE InflUENcE oF tHE NBA iN PoP culTURE!
601,ABS-CBN News,14100000,9438904191,174684,News & Politics,2009-12-13,Indonesia,AdSense,wEird fActs aND ExPERiments!
602,CNN,14100000,12083277333,155569,News & Politics,2005-10-15,Mexico,Membership,MaSTERing HTML and CSS foR YoUR WebSiTE!
603,Zee Mu!sic Classic,14100000,5021164640,964,Music,2014-04-08,Germany,Sponsorship,Top 10 MoVie rEviews!
604,ช่อง8 : Thai Ch8,14100000,5221155648,20582,Entertainment,2011-11-17,South Korea,Merchandising,wEird fActs aND ExPERiments!
605,Daily Dose Of I'nternet,14100000,4265711762,396,Entertainment,2015-06-19,Poland,Merchandising,fOLLow for daiLY VLOGS!
606,Invent|o na Hora,14100000,3851507257,1189,Film & Animation,2014-01-15,South Africa,Membership,GaMiNG Content fOr everyOne!
607,#Refugio Mental,14100000,3410001605,688,Entertainment,2013-12-12,Australia,Super Chat,ThE InflUENcE oF tHE NBA iN PoP culTURE!
608,Anasala  I أنس و أصالة,14100000,3068619934,407,Entertainment,2017-05-01,South Korea,Merchandising,LeaRn tO cOOk dELicious Meals!
609,Мастерская Настроения,14000000,3636809960,891,Entertainment,2013-09-13,Canada,Sponsorship,ALL about SPOrts and fitness!
610,Aphmau,14000000,13364784369,3996,Gaming,2012-01-12,Indonesia,Super Chat,bEST UnBOxInG ViDEos!
611,O Canal do Joãozinho - Little Angel Português,14000000,7752154061,649,Entertainment,2018-06-19,Mexico,Sponsorship,uNderground Hip-Hop and Music trends!
612,Трум Тру[м,14000000,6272005457,1987,Howto & Style,2015-03-10,South Africa,Merchandising,Top 10 MoVie rEviews!
613,AM$3NlC,14000000,4816638383,5446,Gaming,2012-11-04,UAE,AdSense,aMAZING trAvel vlogs wOrldWide!
614,F2Freestylers - Ultimate Soccer Skills Channel},14000000,3152582636,777,Sports,2011-07-08,Japan,Sponsorship,ThE InflUENcE oF tHE NBA iN PoP culTURE!
615,A2 )Motivation by {Arvind Arora},13900000,8013016996,2340,Entertainment,2017-11-16,Russia,Sponsorship,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
616,Taarak Mehta Ka Ooltah Chashmah,13900000,8048210407,2519,Entertainment,2014-03-08,China,Merchandising,hILaRiOuS comEdy skEtches!
617,Edis|onPts,13900000,5606959168,3490,Gaming,2013-03-10,Poland,Crowdfunding,Top 10 MoVie rEviews!
618,UFC - Ultimate Fighting Championship,13900000,5422335319,12258,Sports,2006-12-18,Turkey,AdSense,This is a sports channel where a retarded shares his experiences playing adaptive sports and competing with others.
619,Kuplinov ► Pla]y,13900000,5778034318,6400,Gaming,2012-10-02,China,Sponsorship,eXpLoRINg the WonDERs of AI AnD NASA!
620,CoryxKenshin,13900000,5816295650,1628,Gaming,2009-04-28,South Africa,Sponsorship,ThE InflUENcE oF tHE NBA iN PoP culTURE!
621,DM - Desi Melodies,13900000,5056080182,45,Music,2017-04-09,UK,Super Chat,ThE InflUENcE oF tHE NBA iN PoP culTURE!
